Token	freq	prob
saw	47	0.003354028402197959
row	5	0.00035681153214871903
houses	7	0.0004995361450082067
huddled	2	0.00014272461285948763
seals	1	7.136230642974381e-05
rock	12	0.0008563476771569257
long	38	0.002711767644330265
field	11	0.0007849853707271819
came	45	0.0032113037893384713
sloping	2	0.00014272461285948763
hill	12	0.0008563476771569257
covered	14	0.0009990722900164134
green	19	0.0013558838221651324
bushes	6	0.00042817383857846286
grove	1	7.136230642974381e-05
distance	1	7.136230642974381e-05
waterfall	6	0.00042817383857846286
come	42	0.00299721687004924
pouring	3	0.00021408691928923143
white	26	0.0018554199671733391
feel	6	0.00042817383857846286
cold	19	0.0013558838221651324
spray	2	0.00014272461285948763
creek	99	0.007064868336544637
thought	21	0.00149860843502462
probably	11	0.0007849853707271819
opportunity	2	0.00014272461285948763
catch	11	0.0007849853707271819
behold	1	7.136230642974381e-05
growing	8	0.0005708984514379505
look	38	0.002711767644330265
home	19	0.0013558838221651324
past	11	0.0007849853707271819
glass	10	0.0007136230642974381
whiskers	2	0.00014272461285948763
reflecting	2	0.00014272461285948763
downward	2	0.00014272461285948763
rushing	1	7.136230642974381e-05
waterfalls	8	0.0005708984514379505
night	19	0.0013558838221651324
day	35	0.0024976807250410332
eat	6	0.00042817383857846286
breakfast	7	0.0004995361450082067
heard	16	0.001141796902875901
better	15	0.001070434596446157
morning	24	0.0017126953543138515
extra	4	0.00028544922571897526
went	98	0.006993506030114893
prepare	1	7.136230642974381e-05
tackle	11	0.0007849853707271819
fall	6	0.00042817383857846286
corny	1	7.136230642974381e-05
joke	2	0.00014272461285948763
chicken	3	0.00021408691928923143
road	29	0.0020695068864625705
bent	3	0.00021408691928923143
pin	1	7.136230642974381e-05
tied	4	0.00028544922571897526
piece	13	0.0009277099835866696
string	3	0.00021408691928923143
slept	7	0.0004995361450082067
got	61	0.004353100692214372
ate	6	0.00042817383857846286
took	39	0.0027831299507600086
slice	3	0.00021408691928923143
bread	10	0.0007136230642974381
use	6	0.00042817383857846286
bait	3	0.00021408691928923143
planned	1	7.136230642974381e-05
making	9	0.0006422607578676942
dough	1	7.136230642974381e-05
balls	2	0.00014272461285948763
soft	9	0.0006422607578676942
center	8	0.0005708984514379505
putting	13	0.0009277099835866696
vaudevillian	1	7.136230642974381e-05
hook	5	0.00035681153214871903
left	31	0.002212231499322058
place	35	0.0024976807250410332
streetcorner	1	7.136230642974381e-05
beautiful	11	0.0007849853707271819
